1	root gist	X=after-3	Y=before
2	root gist	X=before	Y=after-3
3	root gist	X=before	Y=after-3
4	d1 gist	X=before	Y=after-3
5	d1 gist	X=before	Y=after-3
6	d1 gist	X=before	Y=after-3
7	d1 gist	X=before	Y=after-3
8	d1 gist	X=before	Y=after-3
9	d1 gist	X=before	Y=after-3
10	d1 gist	X=before	Y=after-3
11	d1 gist	X=before	Y=after-3
12	d1 gist	X=before	Y=after-3
13	d1 gist	X=before	Y=after-3
14	d1 gist	X=before	Y=after-3
15	d1 gist	X=before	Y=after-3
16	d1 gist	X=before	Y=after-3
17	d1 gist	X=before	Y=after-3
18	d1 gist	X=before	Y=after-3
19	d2+ gist	X=before	Y=after-3
20	d2+ gist	X=before	Y=after-3
21	d2+ gist	X=before	Y=after-3
22	d2+ gist	X=before	Y=after-3
23	d2+ gist	X=before	Y=after-3
24	d2+ gist	X=before	Y=after-3
25	d2+ gist	X=before	Y=after-3
26	d2+ gist	X=before	Y=after-3
27	d2+ gist	X=before	Y=after-3
28	d2+ gist	X=before	Y=after-3
29	d2+ gist	X=before	Y=after-3
30	d2+ gist	X=before	Y=after-3
31	d2+ gist	X=before	Y=after-3
32	d2+ gist	X=before	Y=after-3
33	d2+ gist	X=before	Y=after-3
34	d2+ gist	X=before	Y=after-3
35	d2+ gist	X=before	Y=after-3
36	d2+ gist	X=before	Y=after-3
37	d2+ gist	X=before	Y=after-3
38	d2+ gist	X=before	Y=after-3
39	d2+ gist	X=before	Y=after-3
40	d2+ gist	X=before	Y=after-3
41	d2+ gist	X=before	Y=after-3
42	d2+ gist	X=before	Y=after-3
43	d2+ gist	X=before	Y=after-3
44	d2+ gist	X=before	Y=after-3
45	d2+ gist	X=before	Y=after-3
46	d2+ gist	X=before	Y=after-3
47	d2+ gist	X=before	Y=after-3
48	root question	X=before	Y=after-3
49	root question	X=before	Y=after-3
50	root question	X=before	Y=after-3
51	d1 question	X=before	Y=after-3
52	d1 question	X=before	Y=after-3
53	d1 question	X=before	Y=after-3
54	d1 question	X=before	Y=after-3
55	d1 question	X=before	Y=after-3
56	d1 question	X=before	Y=after-3
57	d1 question	X=before	Y=after-3
58	d1 question	X=before	Y=after-3
59	d1 question	X=before	Y=after-3
60	d1 question	X=before	Y=after-3
61	d1 question	X=before	Y=after-3
62	d1 question	X=before	Y=after-3
63	d1 question	X=before	Y=after-3
64	d1 question	X=before	Y=after-3
65	senseHere	X=before	Y=after-3
66	senseHere	X=before	Y=after-3
67	senseHere	X=before	Y=after-3
68	senseHere	X=before	Y=after-3
69	senseHere	X=before	Y=after-3
70	senseHere	X=before	Y=after-3
71	senseHere	X=before	Y=after-3
72	senseHere	X=before	Y=after-3
73	senseHere	X=before	Y=after-3
74	senseHere	X=before	Y=after-3
75	senseHere	X=before	Y=after-3
76	senseHere	X=before	Y=after-3
77	senseHere	X=before	Y=after-3
78	senseHere	X=before	Y=after-3
79	senseHere	X=before	Y=after-3
80	senseHere	X=before	Y=after-3
81	senseHere	X=before	Y=after-3
82	senseHere	X=before	Y=after-3
83	senseHere	X=before	Y=after-3
84	senseHere	X=before	Y=after-3
85	senseHere	X=before	Y=after-3
86	senseHere	X=before	Y=after-3
87	senseHere	X=before	Y=after-3
88	senseHere	X=before	Y=after-3
89	senseHere	X=before	Y=after-3
90	senseHere	X=before	Y=after-3
91	senseHere	X=before	Y=after-3
92	senseHere	X=before	Y=after-3
93	senseHere	X=before	Y=after-3
94	senseHere	X=before	Y=after-3
95	senseHere	X=before	Y=after-3
96	senseHere	X=before	Y=after-3
97	senseHere	X=before	Y=after-3
98	senseHere	X=before	Y=after-3
99	senseHere	X=before	Y=after-3
100	background	X=before	Y=after-3
